x	y	V(xy)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0

0	1	0
1	1	0,51
2	1	0,64
3	1	0,75
4	1	0,84
5	1	0,92
6	1	0,97
7	1	1,02
8	1	1
9	1	0,98
10	1	0,99
11	1	0,99
12	1	0,98
13	1	0,91
14	1	0,85
15	1	0,8
16	1	0,72
17	1	0,67
18	1	0,59
19	1	0,54
20	1	0

0	2	0
1	2	0,55
2	2	0,82
3	2	1,05
4	2	1,25
5	2	1,41
6	2	1,53
7	2	1,63
8	2	1,56
9	2	1,71
10	2	1,68
11	2	1,68
12	2	1,58
13	2	1,53
14	2	1,44
15	2	1,31
16	2	1,17
17	2	1,03
18	2	0,87
19	2	0,69
20	2	0

0	3	0
1	3	0,53
2	3	0,92
3	3	1,27
4	3	1,64
5	3	1,91
6	3	2,17
7	3	2,35
8	3	2,46
9	3	2,48
10	3	2,47
11	3	2,41
12	3	2,35
13	3	2,26
14	3	2,08
15	3	1,88
16	3	1,65
17	3	1,39
18	3	1,12
19	3	0,84
20	3	0

0	4	0
1	4	0,81
2	4	1,34
3	4	1,78
4	4	2,2
5	4	2,59
6	4	2,85
7	4	3,09
8	4	3,2
9	4	3,28
10	4	3,31
11	4	3,26
12	4	3,14
13	4	3,01
14	4	2,78
15	4	2,5
16	4	2,16
17	4	1,82
18	4	1,4
19	4	1,01
20	4	0

0	5	0
1	5	0,84
2	5	1,43
3	5	2,08
4	5	2,62
5	5	3,1
6	5	3,46
7	5	3,74
8	5	3,96
9	5	4,09
10	5	4,15
11	5	4,05
12	5	3,96
13	5	3,67
14	5	3,43
15	5	3,1
16	5	2,67
17	5	2,21
18	5	1,75
19	5	1,16
20	5	0

0	6	0
1	6	0,96
2	6	1,51
3	6	2,07
4	6	2,64
5	6	3,02
6	6	3,3
7	6	3,49
8	6	3,62
9	6	3,74
10	6	3,33
11	6	3,31
12	6	3,19
13	6	3,06
14	6	2,79
15	6	2,5
16	6	2,18
17	6	1,84
18	6	1,46
19	6	1,11
20	6	0

0	7	0
1	7	1,51
2	7	2,66
3	7	3,6
4	7	4,46
5	7	5,05
6	7	5,61
7	7	6,01
8	7	6,35
9	7	6,53
10	7	6,51
11	7	6,42
12	7	6,2
13	7	5,8
14	7	5,36
15	7	4,69
16	7	4,18
17	7	3,41
18	7	2,6
19	7	1,8
20	7	0

0	8	0
1	8	2,07
2	8	3,28
3	8	4,43
4	8	5,43
5	8	6,2
6	8	6,86
7	8	7,3
8	8	7,62
9	8	7,84
10	8	7,9
11	8	7,88
12	8	7,7
13	8	7,32
14	8	6,69
15	8	6
16	8	5,23
17	8	4,19
18	8	3,17
19	8	1,97
20	8	0

0	9	0
1	9	2,52
2	9	4,11
3	9	5,51
4	9	6,64
5	9	7,53
6	9	8,24
7	9	8,77
8	9	9,19
9	9	9,38
10	9	9,37
11	9	9,3
12	9	9,05
13	9	8,46
14	9	8,04
15	9	7,18
16	9	6,16
17	9	5,06
18	9	3,88
19	9	2,45
20	9	0

0	10	0
1	10	2,71
2	10	4,42
3	10	5,7
4	10	7,08
5	10	8,06
6	10	8,8
7	10	9,32
8	10	9,67
9	10	10
10	10	10,27
11	10	10,55
12	10	10,26
13	10	9,76
14	10	9,22
15	10	8,45
16	10	7,29
17	10	6,08
18	10	4,6
19	10	2,92
20	10	0

0	11	0
1	11	3,21
2	11	5,06
3	11	6,55
4	11	7,93
5	11	8,8
6	11	9,46
7	11	10,09
8	11	10,65
9	11	11,11
10	11	11,71
11	11	12,2
12	11	12
13	11	11,44
14	11	10,78
15	11	10,23
16	11	8,93
17	11	7,33
18	11	5,68
19	11	3,47
20	11	0

0	12	0
1	12	5,61
2	12	8,34
3	12	10,19
4	12	11,69
5	12	12,6
6	12	13,63
7	12	14,06
8	12	14,4
9	12	14,77
10	12	14,73
11	12	14,65
12	12	14,2
13	12	13,79
14	12	13,17
15	12	11,64
16	12	10,69
17	12	9,3
18	12	7,52
19	12	5,42
20	12	0

0	13	0
1	13	7,35
2	13	9,96
3	13	12,05
4	13	13,61
5	13	14,79
6	13	15,53
7	13	15,95
8	13	16,34
9	13	16,64
10	13	16,61
11	13	16,58
12	13	16,29
13	13	15,94
14	13	15,18
15	13	14,21
16	13	13
17	13	11,5
18	13	9,9
19	13	7,7
20	13	0

0	14	0
1	14	9,34
2	14	12,48
3	14	14,46
4	14	16,28
5	14	17,1
6	14	17,8
7	14	18,28
8	14	18,47
9	14	18,35
10	14	18,72
11	14	18,7
12	14	18,54
13	14	18,32
14	14	17,63
15	14	16,84
16	14	16
17	14	14,58
18	14	12,1
19	14	10,33
20	14	0

0	15	0
1	15	13,41
2	15	17,45
3	15	18,49
4	15	19,55
5	15	20
6	15	20,3
7	15	20,7
8	15	20,9
9	15	21
10	15	21,1
11	15	21,2
12	15	20,8
13	15	20,5
14	15	20,2
15	15	19,81
16	15	18,64
17	15	16,75
18	15	14,6
19	15	12,37
20	15	23,5

0	16	23,5
1	16	23,5
2	16	23,5
3	16	23,5
4	16	23,5
5	16	23,5
6	16	23,5
7	16	23,5
8	16	23,5
9	16	23,5
10	16	23,5
11	16	23,5
12	16	23,5
13	16	23,5
14	16	23,5
15	16	23,5
16	16	23,5
17	16	23,5
18	16	23,5
19	16	23,5
20	16	23,5
